Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)",Analyte
"Difluoropropane, 2,2- (420-45-1)",420-45-1,24000,ns,100000,ns,63000,n,,"Difluoropropane, 2,2-"
Dihydrosafrole (94-58-6),94-58-6,990,c,4500,c,30,c,,Dihydrosafrole
Diisopropyl Ether (108-20-3),108-20-3,2200,n,9400,ns,1500,n,,Diisopropyl Ether
Diisopropyl Methylphosphonate (1445-75-6),1445-75-6,6300,ns,93000,ns,1600,n,,Diisopropyl Methylphosphonate
Dimagnesium phosphate (7782-75-4),7782-75-4,3800000,nm,57000000,nm,970000,n,,Dimagnesium phosphate
Dimethipin (55290-64-7),55290-64-7,1400,n,18000,n,440,n,,Dimethipin
Dimethoate (60-51-5),60-51-5,140,n,1800,n,44,n,,Dimethoate
"Dimethoxybenzidine, 3,3'- (119-90-4)",119-90-4,34,c,140,c,4.7,c,,"Dimethoxybenzidine, 3,3'-"
Dimethyl methylphosphonate (756-79-6),756-79-6,3800,n,49000,n,1200,n,,Dimethyl methylphosphonate
Dimethylamino azobenzene [p-] (60-11-7),60-11-7,12,c,50,c,0.5,c,,Dimethylamino azobenzene [p-]
"Dimethylaniline HCl, 2,4- (21436-96-4)",21436-96-4,94,c,400,c,13,c,,"Dimethylaniline HCl, 2,4-"
"Dimethylaniline, 2,4- (95-68-1)",95-68-1,130,n,1100,c**,37,c**,,"Dimethylaniline, 2,4-"
"Dimethylaniline, N,N- (121-69-7)",121-69-7,160,n,2300,ns,35,n,,"Dimethylaniline, N,N-"
"Dimethylbenz(a)anthracene, 7,12- (57-97-6)",57-97-6,0.046,c,0.84,c,0.01,c,,"Dimethylbenz(a)anthracene, 7,12-"
"Dimethylbenzidine, 3,3'- (119-93-7)",119-93-7,4.9,c,21,c,0.65,c,,"Dimethylbenzidine, 3,3'-"
Dimethylformamide (68-12-2),68-12-2,2600,n,15000,n,61,n,,Dimethylformamide
"Dimethylhydrazine, 1,1- (57-14-7)",57-14-7,0.057,n,0.24,n,0.0042,n,,"Dimethylhydrazine, 1,1-"
"Dimethylhydrazine, 1,2- (540-73-8)",540-73-8,0.088,c,0.41,c,0.0028,c,,"Dimethylhydrazine, 1,2-"
"Dimethylphenol, 2,4- (105-67-9)",105-67-9,1300,n,16000,n,360,n,,"Dimethylphenol, 2,4-"
"Dimethylphenol, 2,6- (576-26-1)",576-26-1,38,n,490,n,11,n,,"Dimethylphenol, 2,6-"
"Dimethylphenol, 3,4- (95-65-8)",95-65-8,63,n,820,n,18,n,,"Dimethylphenol, 3,4-"
Dimethylterephthalate (120-61-6),120-61-6,7800,n,120000,nm,1900,n,,Dimethylterephthalate
Dimethylvinylchloride (513-37-1),513-37-1,110,c,480,cs,33,c,,Dimethylvinylchloride
"Dinitro-o-cresol, 4,6- (534-52-1)",534-52-1,5.1,n,66,n,1.5,n,,"Dinitro-o-cresol, 4,6-"
"Dinitro-o-cyclohexyl Phenol, 4,6- (131-89-5)",131-89-5,130,n,1600,n,23,n,,"Dinitro-o-cyclohexyl Phenol, 4,6-"
"Dinitrobenzene, 1,2- (528-29-0)",528-29-0,6.3,n,82,n,1.9,n,,"Dinitrobenzene, 1,2-"
"Dinitrobenzene, 1,3- (99-65-0)",99-65-0,6.3,n,82,n,2,n,,"Dinitrobenzene, 1,3-"
"Dinitrobenzene, 1,4- (100-25-4)",100-25-4,6.3,n,82,n,2,n,,"Dinitrobenzene, 1,4-"
"Dinitrophenol, 2,4- (51-28-5)",51-28-5,130,n,1600,n,39,n,,"Dinitrophenol, 2,4-"
"Dinitrotoluene Mixture, 2,4/2,6- (E1615210)",E1615210,80,c,340,c,11,c,,"Dinitrotoluene Mixture, 2,4/2,6-"
"Dinitrotoluene, 2-Amino-4,6- (35572-78-2)",35572-78-2,150,n,2300,n,39,n,,"Dinitrotoluene, 2-Amino-4,6-"
"Dinitrotoluene, 2,4- (121-14-2)",121-14-2,130,n,740,c**,24,c**,,"Dinitrotoluene, 2,4-"
"Dinitrotoluene, 2,6- (606-20-2)",606-20-2,19,n,150,c**,4.9,c**,,"Dinitrotoluene, 2,6-"
"Dinitrotoluene, 4-Amino-2,6- (19406-51-0)",19406-51-0,150,n,2300,n,39,n,,"Dinitrotoluene, 4-Amino-2,6-"
"Dinitrotoluene, Technical grade (25321-14-6)",25321-14-6,57,n,510,c**,10,c**,,"Dinitrotoluene, Technical grade"
Dinoseb (88-85-7),88-85-7,63,n,820,n,15,n,7,Dinoseb
"Dioxane, 1,4- (123-91-1)",123-91-1,530,c**,2400,c**,46,c**,,"Dioxane, 1,4-"
Diphenamid (957-51-7),957-51-7,1900,n,25000,n,530,n,,Diphenamid
Diphenyl Ether (101-84-8),101-84-8,34,n,140,n,0.83,n,,Diphenyl Ether
Diphenyl Sulfone (127-63-9),127-63-9,51,n,660,n,15,n,,Diphenyl Sulfone
Diphenylamine (122-39-4),122-39-4,6300,n,82000,n,1300,n,,Diphenylamine
"Diphenylhydrazine, 1,2- (122-66-7)",122-66-7,68,c,290,c,7.8,c,,"Diphenylhydrazine, 1,2-"
Dipotassium phosphate (7758-11-4),7758-11-4,3800000,nm,57000000,nm,970000,n,,Dipotassium phosphate
Diquat (85-00-7),85-00-7,140,n,1800,n,44,n,20,Diquat
Direct Black 38 (1937-37-7),1937-37-7,7.6,c,32,c,1.1,c,,Direct Black 38
Direct Blue 6 (2602-46-2),2602-46-2,7.3,c,31,c,1.1,c,,Direct Blue 6
Direct Brown 95 (16071-86-6),16071-86-6,8.1,c,34,c,1.2,c,,Direct Brown 95
Disodium phosphate (7558-79-4),7558-79-4,3800000,nm,57000000,nm,970000,n,,Disodium phosphate
Disulfoton (298-04-4),298-04-4,2.5,n,33,n,0.5,n,,Disulfoton
"Dithiane, 1,4- (505-29-3)",505-29-3,780,n,12000,n,200,n,,"Dithiane, 1,4-"
Diuron (330-54-1),330-54-1,130,n,1600,n,36,n,,Diuron
Dodine (2439-10-3),2439-10-3,1300,n,16000,n,400,n,,Dodine
Endosulfan (115-29-7),115-29-7,470,n,7000,n,100,n,,Endosulfan
Endothall (145-73-3),145-73-3,1300,n,16000,n,380,n,100,Endothall
Endrin (72-20-8),72-20-8,19,n,250,n,2.3,n,2,Endrin
Epichlorohydrin (106-89-8),106-89-8,19,n,82,n,2,n,,Epichlorohydrin
"Epoxybutane, 1,2- (106-88-7)",106-88-7,160,n,670,n,42,n,,"Epoxybutane, 1,2-"
EPTC (759-94-4),759-94-4,3900,n,58000,n,750,n,,EPTC
"Ethanol, 2-(2-methoxyethoxy)- (111-77-3)",111-77-3,2500,n,33000,n,800,n,,"Ethanol, 2-(2-methoxyethoxy)-"
Ethephon (16672-87-0),16672-87-0,320,n,4100,n,100,n,,Ethephon
Ethion (563-12-2),563-12-2,32,n,410,n,4.3,n,,Ethion
"Ethoxyethanol Acetate, 2- (111-15-9)",111-15-9,2600,n,14000,n,120,n,,"Ethoxyethanol Acetate, 2-"
"Ethoxyethanol, 2- (110-80-5)",110-80-5,5200,n,47000,n,340,n,,"Ethoxyethanol, 2-"
Ethyl Acetate (141-78-6),141-78-6,620,n,2600,n,140,n,,Ethyl Acetate
Ethyl Acrylate (140-88-5),140-88-5,47,n,210,n,14,n,,Ethyl Acrylate
Ethyl Chloride (Chloroethane) (75-00-3),75-00-3,14000,ns,57000,ns,21000,n,,Ethyl Chloride (Chloroethane)
Ethyl Ether (60-29-7),60-29-7,16000,ns,230000,nms,3900,n,,Ethyl Ether
Ethyl Methacrylate (97-63-2),97-63-2,1800,ns,7600,ns,630,n,,Ethyl Methacrylate
Ethyl-p-nitrophenyl Phosphonate (2104-64-5),2104-64-5,0.63,n,8.2,n,0.089,n,,Ethyl-p-nitrophenyl Phosphonate
Ethylbenzene (100-41-4),100-41-4,580,c**s,2500,c**s,150,c**,700,Ethylbenzene
Ethylene Cyanohydrin (109-78-4),109-78-4,4400,n,57000,n,1400,n,,Ethylene Cyanohydrin
Ethylene Diamine (107-15-3),107-15-3,7000,n,110000,nm,1800,n,,Ethylene Diamine
Ethylene Glycol (107-21-1),107-21-1,130000,nm,1600000,nm,40000,n,,Ethylene Glycol
Ethylene Glycol Monobutyl Ether (111-76-2),111-76-2,6300,n,82000,n,2000,n,,Ethylene Glycol Monobutyl Ether
Ethylene Oxide (75-21-8),75-21-8,0.2,c,2.5,c,0.067,c,,Ethylene Oxide
Ethylene Thiourea (96-45-7),96-45-7,5.1,n,66,n,1.6,n,,Ethylene Thiourea
Ethyleneimine (151-56-4),151-56-4,0.27,c,1.2,c,0.024,c,,Ethyleneimine
Ethylphthalyl Ethyl Glycolate (84-72-0),84-72-0,190000,nm,2500000,nm,58000,n,,Ethylphthalyl Ethyl Glycolate
Fenamiphos (22224-92-6),22224-92-6,16,n,210,n,4.4,n,,Fenamiphos
Fenpropathrin (39515-41-8),39515-41-8,1600,n,21000,n,64,n,,Fenpropathrin
Fenvalerate (51630-58-1),51630-58-1,1600,n,21000,n,500,n,,Fenvalerate
Fluometuron (2164-17-2),2164-17-2,820,n,11000,n,240,n,,Fluometuron
Fluoranthene (206-44-0),206-44-0,2400,n,30000,n,800,n,,Fluoranthene
Fluorene (86-73-7),86-73-7,2400,n,30000,n,290,n,,Fluorene
Fluoride (16984-48-8),16984-48-8,3100,n,47000,n,800,n,4000,Fluoride
Fluorine (Soluble Fluoride) (7782-41-4),7782-41-4,4700,n,70000,n,1200,n,4000,Fluorine (Soluble Fluoride)
Fluridone (59756-60-4),59756-60-4,5100,n,66000,n,1400,n,,Fluridone
Flurprimidol (56425-91-3),56425-91-3,2500,n,33000,n,690,n,,Flurprimidol
Flusilazole (85509-19-9),85509-19-9,130,n,1600,n,31,n,,Flusilazole
Flutolanil (66332-96-5),66332-96-5,32000,n,410000,nm,7900,n,,Flutolanil
Fluvalinate (69409-94-5),69409-94-5,630,n,8200,n,200,n,,Fluvalinate
Folpet (133-07-3),133-07-3,5700,n,74000,n,1600,n,,Folpet
Fomesafen (72178-02-0),72178-02-0,160,n,2100,n,48,n,,Fomesafen
Fonofos (944-22-9),944-22-9,130,n,1600,n,24,n,,Fonofos
Formaldehyde (50-00-0),50-00-0,760,n,3300,n,20,n,,Formaldehyde
Formic Acid (64-18-6),64-18-6,29,n,120,n,0.63,n,,Formic Acid
Fosetyl-AL (39148-24-8),39148-24-8,160000,nm,2100000,nm,50000,n,,Fosetyl-AL
Furan (110-00-9),110-00-9,73,n,1000,n,19,n,,Furan
Furazolidone (67-45-8),67-45-8,14,c,60,c,2,c,,Furazolidone
Furfural (98-01-1),98-01-1,210,n,2600,n,38,n,,Furfural
Furium (531-82-8),531-82-8,36,c,150,c,5.1,c,,Furium
Furmecyclox (60568-05-0),60568-05-0,1800,c,7700,c,110,c,,Furmecyclox
"Glufosinate, Ammonium (77182-82-2)",77182-82-2,380,n,4900,n,120,n,,"Glufosinate, Ammonium"
Glutaraldehyde (111-30-8),111-30-8,6000,n,70000,n,2000,n,,Glutaraldehyde
Glycidyl (765-34-4),765-34-4,23,n,210,n,1.7,n,,Glycidyl
Glyphosate (1071-83-6),1071-83-6,6300,n,82000,n,2000,n,700,Glyphosate
Guanidine (113-00-8),113-00-8,780,n,12000,n,200,n,,Guanidine
Guanidine Chloride (50-01-1),50-01-1,1300,n,16000,n,400,n,,Guanidine Chloride
Guanidine Nitrate (506-93-4),506-93-4,1900,n,25000,n,600,n,,Guanidine Nitrate
"Haloxyfop, Methyl (69806-40-2)",69806-40-2,3.2,n,41,n,0.76,n,,"Haloxyfop, Methyl"
Heptachlor (76-44-8),76-44-8,13,c**,63,c**,0.14,c**,0.4,Heptachlor
Heptachlor Epoxide (1024-57-3),1024-57-3,1,n,15,n,0.12,n,0.2,Heptachlor Epoxide
"Heptachlorobiphenyl, 2,3,3',4,4',5,5'- (PCB 189) (39635-31-9)",39635-31-9,1.4,n,17,n,0.4,c**,,"Heptachlorobiphenyl, 2,3,3',4,4',5,5'- (PCB 189)"
"Heptanal, n- (111-71-7)",111-71-7,24,n,100,n,6.3,n,,"Heptanal, n-"
"Heptane, N- (142-82-5)",142-82-5,22,n,290,ns,6,n,,"Heptane, N-"
Hexabromobenzene (87-82-1),87-82-1,160,n,2300,n,40,n,,Hexabromobenzene
"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153) (68631-49-2)",68631-49-2,13,n,160,n,4,n,,"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153)"
Hexachlorobenzene (118-74-1),118-74-1,21,c**,96,c**,0.98,c*,1,Hexachlorobenzene
"Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156) (38380-08-4)",38380-08-4,1.4,n,17,n,0.4,c**,,"Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156)"
"Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157) (69782-90-7)",69782-90-7,1.4,n,17,n,0.4,c**,,"Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157)"
"Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167) (52663-72-6)",52663-72-6,1.4,n,17,n,0.4,c**,,"Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167)"
"Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169) (32774-16-6)",32774-16-6,0.0014,n,0.017,n,0.0004,c**,,"Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169)"
Hexachlorobutadiene (87-68-3),87-68-3,78,ns,530,c**s,6.5,n,,Hexachlorobutadiene
"Hexachlorocyclohexane, Alpha- (319-84-6)",319-84-6,8.6,c*,36,c,0.72,c,,"Hexachlorocyclohexane, Alpha-"
"Hexachlorocyclohexane, Beta- (319-85-7)",319-85-7,30,c,130,c,2.5,c,,"Hexachlorocyclohexane, Beta-"
"Hexachlorocyclohexane, Gamma- (Lindane) (58-89-9)",58-89-9,21,n,250,c**,3.6,n,0.2,"Hexachlorocyclohexane, Gamma- (Lindane)"
"Hexachlorocyclohexane, Technical (608-73-1)",608-73-1,30,c,130,c,2.5,c,,"Hexachlorocyclohexane, Technical"
Hexachlorocyclopentadiene (77-47-4),77-47-4,1.8,n,7.5,n,0.41,n,50,Hexachlorocyclopentadiene
"Hexachlorodibenzo-p-dioxin, Mixture ()",,0.01,c,0.047,c,0.0013,c,,"Hexachlorodibenzo-p-dioxin, Mixture"
Hexachloroethane (67-72-1),67-72-1,45,n,460,n,6.2,n,,Hexachloroethane
Hexachlorophene (70-30-4),70-30-4,19,n,250,n,6,n,,Hexachlorophene
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX) (121-82-4)",121-82-4,230,n,2800,c**,60,n,,"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)"
"Hexamethylene Diisocyanate, 1,6- (822-06-0)",822-06-0,3.1,n,13,n,0.021,n,,"Hexamethylene Diisocyanate, 1,6-"
Hexamethylphosphoramide (680-31-9),680-31-9,25,n,330,n,8,n,,Hexamethylphosphoramide
"Hexane, N- (110-54-3)",110-54-3,610,ns,2500,ns,1500,n,,"Hexane, N-"
Hexanedioic Acid (124-04-9),124-04-9,130000,nm,1600000,nm,40000,n,,Hexanedioic Acid
"Hexanone, 2- (591-78-6)",591-78-6,200,n,1300,n,38,n,,"Hexanone, 2-"
Hexazinone (51235-04-2),51235-04-2,2100,n,27000,n,640,n,,Hexazinone
Hexythiazox (78587-05-0),78587-05-0,1600,n,21000,n,110,n,,Hexythiazox
Hydramethylnon (67485-29-4),67485-29-4,1100,n,14000,n,340,n,,Hydramethylnon
Hydrazine (302-01-2),302-01-2,2,n,8.6,n,0.063,n,,Hydrazine
Hydrazine Sulfate (10034-93-2),10034-93-2,23,c,110,c,2.6,c,,Hydrazine Sulfate
Hydrogen Chloride (7647-01-0),7647-01-0,28000000,nm,120000000,nm,42,n,,Hydrogen Chloride
Hydrogen Cyanide (74-90-8),74-90-8,23,n,150,n,1.5,n,,Hydrogen Cyanide
Hydrogen Fluoride (7664-39-3),7664-39-3,3100,n,47000,n,28,n,,Hydrogen Fluoride
Hydrogen Sulfide (7783-06-4),7783-06-4,2800000,nm,12000000,nm,4.2,n,,Hydrogen Sulfide
Hydroquinone (123-31-9),123-31-9,900,c**,3800,c**,130,c**,,Hydroquinone
Imazalil (35554-44-0),35554-44-0,160,n,2100,n,36,n,,Imazalil
Imazaquin (81335-37-7),81335-37-7,16000,n,210000,nm,4900,n,,Imazaquin
Imazethapyr (81335-77-5),81335-77-5,160000,nm,2100000,nm,47000,n,,Imazethapyr
"Indeno[1,2,3-cd]pyrene (193-39-5)",193-39-5,110,c,2100,c,25,c,,"Indeno[1,2,3-cd]pyrene"
Iodine (7553-56-2),7553-56-2,780,n,12000,n,200,n,,Iodine
Iprodione (36734-19-7),36734-19-7,2500,n,33000,n,740,n,,Iprodione
Iron (7439-89-6),7439-89-6,55000,n,820000,nm,14000,n,,Iron
Isobutyl Alcohol (78-83-1),78-83-1,23000,ns,350000,nms,5900,n,,Isobutyl Alcohol
Isophorone (78-59-1),78-59-1,13000,n,160000,nm,3800,n,,Isophorone
Isopropalin (33820-53-0),33820-53-0,1200,n,18000,n,40,n,,Isopropalin
Isopropanol (67-63-0),67-63-0,5600,n,24000,n,410,n,,Isopropanol
Isopropyl Methyl Phosphonic Acid (1832-54-8),1832-54-8,6300,n,82000,n,2000,n,,Isopropyl Methyl Phosphonic Acid
Isoxaben (82558-50-7),82558-50-7,3200,n,41000,n,730,n,,Isoxaben
JP-7 (E1737665),E1737665,430000000,nm,1800000000,nm,630,n,,JP-7
Lactofen (77501-63-4),77501-63-4,510,n,6600,n,100,n,,Lactofen
Lactonitrile (78-97-7),78-97-7,13,n,160,n,4,n,,Lactonitrile
Lead acetate (301-04-2),301-04-2,6400,c,27000,c,920,c,,Lead acetate
Lead and Compounds (7439-92-1),7439-92-1,400,L,800,L,15,L,15,Lead and Compounds
Lead Phosphate (7446-27-7),7446-27-7,8200,c,38000,c,910,c,,Lead Phosphate
Lead subacetate (1335-32-6),1335-32-6,6400,c,27000,c,920,c,,Lead subacetate
Lewisite (541-25-3),541-25-3,0.39,n,5.8,n,0.09,n,,Lewisite
Linuron (330-55-2),330-55-2,490,n,6300,n,130,n,,Linuron
Lithium (7439-93-2),7439-93-2,160,n,2300,n,40,n,,Lithium
Lithium Perchlorate (7791-03-9),7791-03-9,55,n,820,n,14,n,,Lithium Perchlorate
Malathion (121-75-5),121-75-5,1300,n,16000,n,390,n,,Malathion
Maleic Anhydride (108-31-6),108-31-6,6300,n,80000,n,1900,n,,Maleic Anhydride
Maleic Hydrazide (123-33-1),123-33-1,32000,n,410000,nm,10000,n,,Maleic Hydrazide
Malononitrile (109-77-3),109-77-3,6.3,n,82,n,2,n,,Malononitrile
Mancozeb (8018-01-7),8018-01-7,1900,n,25000,n,540,n,,Mancozeb
Maneb (12427-38-2),12427-38-2,320,n,4100,n,98,n,,Maneb
Manganese (Diet) (7439-96-5),7439-96-5,        ,,        ,,        ,,,Manganese (Diet)
Manganese (Non-diet) (7439-96-5),7439-96-5,1800,n,26000,n,430,n,,Manganese (Non-diet)
MCPA (94-74-6),94-74-6,32,n,410,n,7.5,n,,MCPA
MCPB (94-81-5),94-81-5,280,n,3600,n,65,n,,MCPB
MCPP (93-65-2),93-65-2,63,n,820,n,16,n,,MCPP
Mephosfolan (950-10-7),950-10-7,5.7,n,74,n,1.8,n,,Mephosfolan
Mepiquat Chloride (24307-26-4),24307-26-4,1900,n,25000,n,600,n,,Mepiquat Chloride
"Mercaptobenzothiazole, 2- (149-30-4)",149-30-4,250,n,3300,n,72,n,,"Mercaptobenzothiazole, 2-"
Mercuric Chloride (and other Mercury salts) (7487-94-7),7487-94-7,23,n,350,n,5.7,n,2,Mercuric Chloride (and other Mercury salts)
Mercury (elemental) (7439-97-6),7439-97-6,11,ns,46,ns,0.63,n,2,Mercury (elemental)
Merphos (150-50-5),150-50-5,2.3,n,35,n,0.6,n,,Merphos
Merphos Oxide (78-48-8),78-48-8,6.3,n,82,n,0.28,n,,Merphos Oxide
Metalaxyl (57837-19-1),57837-19-1,3800,n,49000,n,1200,n,,Metalaxyl
Methacrylonitrile (126-98-7),126-98-7,7.5,n,100,n,1.9,n,,Methacrylonitrile
Methamidophos (10265-92-6),10265-92-6,3.2,n,41,n,1,n,,Methamidophos
Methanol (67-56-1),67-56-1,120000,nms,1200000,nms,20000,n,,Methanol
Methidathion (950-37-8),950-37-8,95,n,1200,n,29,n,,Methidathion
Methomyl (16752-77-5),16752-77-5,1600,n,21000,n,500,n,,Methomyl
"Methoxy-5-nitroaniline, 2- (99-59-2)",99-59-2,1100,c,4700,c,150,c,,"Methoxy-5-nitroaniline, 2-"
Methoxychlor (72-43-5),72-43-5,320,n,4100,n,37,n,40,Methoxychlor
"Methoxyethanol Acetate, 2- (110-49-6)",110-49-6,110,n,510,n,2.1,n,,"Methoxyethanol Acetate, 2-"
"Methoxyethanol, 2- (109-86-4)",109-86-4,330,n,3500,n,29,n,,"Methoxyethanol, 2-"
Methyl Acetate (79-20-9),79-20-9,78000,ns,1200000,nms,20000,n,,Methyl Acetate
Methyl Acrylate (96-33-3),96-33-3,150,n,610,n,42,n,,Methyl Acrylate
Methyl Ethyl Ketone (2-Butanone) (78-93-3),78-93-3,27000,n,190000,nms,5600,n,,Methyl Ethyl Ketone (2-Butanone)
Methyl Hydrazine (60-34-4),60-34-4,1,n,4.4,n,0.042,n,,Methyl Hydrazine
Methyl Isobutyl Ketone (4-methyl-2-pentanone) (108-10-1),108-10-1,33000,ns,140000,nms,6300,n,,Methyl Isobutyl Ketone (4-methyl-2-pentanone)
Methyl Isocyanate (624-83-9),624-83-9,4.6,n,19,n,2.1,n,,Methyl Isocyanate
Methyl Mercury (22967-92-6),22967-92-6,7.8,n,120,n,2,n,,Methyl Mercury
Methyl Methacrylate (80-62-6),80-62-6,4400,ns,19000,ns,1400,n,,Methyl Methacrylate
Methyl methanesulfonate (66-27-3),66-27-3,550,c,2300,c,79,c,,Methyl methanesulfonate
Methyl Parathion (298-00-0),298-00-0,16,n,210,n,4.5,n,,Methyl Parathion
Methyl Phosphonic Acid (993-13-5),993-13-5,3800,n,49000,n,1200,n,,Methyl Phosphonic Acid
Methyl Styrene (Mixed Isomers) (25013-15-4),25013-15-4,320,n,2600,ns,23,n,,Methyl Styrene (Mixed Isomers)
Methyl tert-Butyl Ether (MTBE) (1634-04-4),1634-04-4,4700,c**,21000,c**s,1400,c**,,Methyl tert-Butyl Ether (MTBE)
"Methyl-1,4-benzenediamine dihydrochloride, 2- (615-45-2)",615-45-2,19,n,250,n,6,n,,"Methyl-1,4-benzenediamine dihydrochloride, 2-"
"Methyl-2-Pentanol, 4- (108-11-2)",108-11-2,54000,ns,230000,nms,6300,n,,"Methyl-2-Pentanol, 4-"
"Methyl-5-Nitroaniline, 2- (99-55-8)",99-55-8,1300,n,16000,n,380,n,,"Methyl-5-Nitroaniline, 2-"
"Methyl-N-nitro-N-nitrosoguanidine, N- (70-25-7)",70-25-7,6.5,c,28,c,0.94,c,,"Methyl-N-nitro-N-nitrosoguanidine, N-"
"Methylaniline Hydrochloride, 2- (636-21-5)",636-21-5,420,c,1800,c,60,c,,"Methylaniline Hydrochloride, 2-"
Methylarsonic acid (124-58-3),124-58-3,630,n,8200,n,200,n,,Methylarsonic acid
"Methylbenzene-1,4-diamine sulfate, 2- (615-50-9)",615-50-9,19,n,250,n,6,n,,"Methylbenzene-1,4-diamine sulfate, 2-"
"Methylbenzene,1-4-diamine monohydrochloride, 2- (74612-12-7)",74612-12-7,13,n,160,n,4,n,,"Methylbenzene,1-4-diamine monohydrochloride, 2-"
"Methylcholanthrene, 3- (56-49-5)",56-49-5,0.55,c,10,c,0.11,c,,"Methylcholanthrene, 3-"
Methylene Chloride (75-09-2),75-09-2,350,n,3200,n,110,n,5,Methylene Chloride
"Methylene-bis(2-chloroaniline), 4,4'- (101-14-4)",101-14-4,120,c**,1600,n,16,c**,,"Methylene-bis(2-chloroaniline), 4,4'-"
"Methylene-bis(N,N-dimethyl) Aniline, 4,4'- (101-61-1)",101-61-1,1200,c,5000,c,48,c,,"Methylene-bis(N,N-dimethyl) Aniline, 4,4'-"
"Methylenebisbenzenamine, 4,4'- (101-77-9)",101-77-9,34,c,140,c,4.7,c,,"Methylenebisbenzenamine, 4,4'-"
Methylenediphenyl Diisocyanate (101-68-8),101-68-8,850000,nm,3600000,nm,        ,,,Methylenediphenyl Diisocyanate
"Methylnaphthalene, 1- (90-12-0)",90-12-0,1800,c**s,7300,c**s,110,c**,,"Methylnaphthalene, 1-"
"Methylnaphthalene, 2- (91-57-6)",91-57-6,240,n,3000,n,36,n,,"Methylnaphthalene, 2-"
"Methylstyrene, Alpha- (98-83-9)",98-83-9,5500,ns,82000,ns,780,n,,"Methylstyrene, Alpha-"
Metolachlor (51218-45-2),51218-45-2,9500,n,120000,nm,2700,n,,Metolachlor
Metribuzin (21087-64-9),21087-64-9,1600,n,21000,n,490,n,,Metribuzin
Metsulfuron-methyl (74223-64-6),74223-64-6,16000,n,210000,nm,4900,n,,Metsulfuron-methyl
Mineral oils (8012-95-1),8012-95-1,230000,nms,3500000,nms,60000,n,,Mineral oils
Mirex (2385-85-5),2385-85-5,3.6,c**,17,c*,0.088,c*,,Mirex
Molinate (2212-67-1),2212-67-1,130,n,1600,n,30,n,,Molinate
Molybdenum (7439-98-7),7439-98-7,390,n,5800,n,100,n,,Molybdenum
Monoaluminum phosphate (13530-50-2),13530-50-2,3800000,nm,57000000,nm,970000,n,,Monoaluminum phosphate
Monoammonium phosphate (7722-76-1),7722-76-1,3800000,nm,57000000,nm,970000,n,,Monoammonium phosphate
Monocalcium phosphate (7758-23-8),7758-23-8,3800000,nm,57000000,nm,970000,n,,Monocalcium phosphate
Monochloramine (10599-90-3),10599-90-3,7800,n,120000,nm,2000,n,4000,Monochloramine
Monomagnesium phosphate (7757-86-0),7757-86-0,3800000,nm,57000000,nm,970000,n,,Monomagnesium phosphate
Monomethylaniline (100-61-8),100-61-8,130,n,1600,n,38,n,,Monomethylaniline
Monopotassium phosphate (7778-77-0),7778-77-0,3800000,nm,57000000,nm,970000,n,,Monopotassium phosphate
Monosodium phosphate (7558-80-7),7558-80-7,3800000,nm,57000000,nm,970000,n,,Monosodium phosphate
Myclobutanil (88671-89-0),88671-89-0,1600,n,21000,n,450,n,,Myclobutanil
"N,N'-Diphenyl-1,4-benzenediamine (74-31-7)",74-31-7,19,n,250,n,3.6,n,,"N,N'-Diphenyl-1,4-benzenediamine"
Naled (300-76-5),300-76-5,160,n,2300,n,40,n,,Naled
"Naphtha, High Flash Aromatic (HFAN) (64742-95-6)",64742-95-6,2300,n,35000,n,150,n,,"Naphtha, High Flash Aromatic (HFAN)"
Naphthalene (91-20-3),91-20-3,130,n,590,n,6.1,n,,Naphthalene
"Naphthylamine, 2- (91-59-8)",91-59-8,30,c,130,c,3.9,c,,"Naphthylamine, 2-"
Napropamide (15299-99-7),15299-99-7,7600,n,98000,n,2000,n,,Napropamide
Nickel Acetate (373-02-4),373-02-4,670,n,8100,n,220,n,,Nickel Acetate
Nickel Carbonate (3333-67-3),3333-67-3,670,n,8100,n,220,n,,Nickel Carbonate
Nickel Carbonyl (13463-39-3),13463-39-3,820,n,11000,n,0.029,n,,Nickel Carbonyl
Nickel Hydroxide (12054-48-7),12054-48-7,820,n,11000,n,200,n,,Nickel Hydroxide
Nickel Oxide (1313-99-1),1313-99-1,840,n,12000,n,200,n,,Nickel Oxide
Nickel Refinery Dust (E715532),E715532,820,n,11000,n,220,n,,Nickel Refinery Dust
