Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)"
Cyfluthrin,68359-37-5,4.7E+03,n,6.2E+04,n,3.6E+02,n,
Cyhalothrin,68085-85-8,1.9E+02,n,2.5E+03,n,6.0E+01,n,
Cyromazine,66215-27-8,9.5E+04,n,1.2E+06,nm,3.0E+04,n,
Dalapon,75-99-0,5.7E+03,n,7.4E+04,n,1.8E+03,n,2.0E+02
Daminozide,1596-84-5,3.0E+03,c**,1.3E+04,c*,4.3E+02,c*,
"DDD, p,p'- (DDD)",72-54-8,5.7E+00,n,7.4E+01,n,1.9E-01,n,
"DDE, p,p'-",72-55-9,7.0E+01,n,9.3E+02,c**,4.6E+00,c**,
DDT,50-29-3,1.1E+02,n,8.5E+02,c**,2.3E+01,c**,
"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)",1163-19-5,1.3E+03,n,1.7E+04,n,4.2E+02,n,
Demeton,8065-48-3,7.6E+00,n,9.8E+01,n,1.3E+00,n,
Di(2-ethylhexyl)adipate,103-23-1,4.5E+04,c**,1.9E+05,c**m,6.5E+03,c**,4.0E+02
Diallate,2303-16-4,8.9E+02,c,3.8E+03,c,5.4E+01,c,
Diazinon,333-41-5,1.3E+02,n,1.7E+03,n,3.1E+01,n,
Dibenzothiophene,132-65-0,2.3E+03,n,3.5E+04,n,2.0E+02,n,
"Dibromo-3-chloropropane, 1,2-",96-12-8,5.3E-01,c*,6.4E+00,c*,3.3E-02,c*,2.0E-01
"Dibromobenzene, 1,3-",108-36-1,9.4E+01,n,1.4E+03,ns,1.6E+01,n,
"Dibromobenzene, 1,4-",106-37-6,2.3E+03,n,3.5E+04,n,3.9E+02,n,
Dibromochloromethane,124-48-1,8.3E+02,c**s,3.9E+03,c*s,8.7E+01,c*,8.0E+01(F)
"Dibromoethane, 1,2-",106-93-4,3.6E+00,c*,1.6E+01,c*,7.5E-01,c*,5.0E-02
Dibromomethane (Methylene Bromide),74-95-3,7.1E+01,n,3.0E+02,n,2.5E+01,n,
Dibutyltin Compounds,E1790660,5.7E+01,n,7.4E+02,n,1.8E+01,n,
Dicamba,1918-00-9,5.7E+03,n,7.4E+04,n,1.7E+03,n,
"Dichloro-2-butene, 1,4-",764-41-0,2.1E-01,c,9.4E-01,c,1.3E-01,c,
"Dichloro-2-butene, cis-1,4-",1476-11-5,7.4E-01,c,3.2E+00,c,1.3E-01,c,
"Dichloro-2-butene, trans-1,4-",110-57-6,7.4E-01,c,3.2E+00,c,1.3E-01,c,
Dichloroacetic Acid,79-43-6,7.6E+02,n,4.6E+03,c**,1.5E+02,c**,6.0E+01
"Dichlorobenzene, 1,2-",95-50-1,5.4E+03,ns,2.8E+04,ns,9.1E+02,n,6.0E+02
"Dichlorobenzene, 1,4-",106-46-7,2.6E+02,c*,1.1E+03,c*,4.8E+01,c*,7.5E+01
"Dichlorobenzidine, 3,3'-",91-94-1,1.2E+02,c,5.1E+02,c,1.3E+01,c,
"Dichlorobenzophenone, 4,4'-",90-98-2,1.7E+03,n,2.2E+04,n,2.3E+02,n,
Dichlorodifluoromethane,75-71-8,2.6E+02,n,1.1E+03,ns,5.9E+02,n,
"Dichloroethane, 1,1-",75-34-3,3.6E+02,c,1.6E+03,c,2.8E+02,c*,
"Dichloroethane, 1,2-",107-06-2,4.6E+01,c**,2.0E+02,c**,1.7E+01,c**,5.0E+00
"Dichloroethylene, 1,1-",75-35-4,6.8E+02,n,3.0E+03,ns,8.5E+02,n,7.0E+00
"Dichloroethylene, 1,2-cis-",156-59-2,4.7E+02,n,7.0E+03,ns,1.1E+02,n,7.0E+01
"Dichloroethylene, 1,2-trans-",156-60-5,4.7E+03,ns,7.0E+04,ns,1.1E+03,n,1.0E+02
"Dichlorophenol, 2,4-",120-83-2,5.7E+02,n,7.4E+03,n,1.4E+02,n,
"Dichlorophenoxy Acetic Acid, 2,4-",94-75-7,2.1E+03,n,2.9E+04,n,5.2E+02,n,7.0E+01
"Dichloropropane, 1,2-",78-87-5,4.7E+01,n,2.0E+02,n,2.5E+01,n,5.0E+00
"Dichloropropane, 1,3-",142-28-9,4.7E+03,ns,7.0E+04,ns,1.1E+03,n,
"Dichloropropanol, 2,3-",616-23-9,5.7E+02,n,7.4E+03,n,1.8E+02,n,
"Dichloropropene, 1,3-",542-75-6,1.8E+02,c**,8.2E+02,c**,4.7E+01,c**,
Dichlorvos,62-73-7,9.5E+01,n,7.9E+02,c**,2.6E+01,c**,
Dicrotophos,141-66-2,5.7E+00,n,7.4E+01,n,1.8E+00,n,
Dicyclopentadiene,77-73-6,3.9E+00,n,1.6E+01,n,1.9E+00,n,
Dieldrin,60-57-1,3.4E+00,c**,1.4E+01,c**,1.8E-01,c**,
Diesel Engine Exhaust,E17136615,        ,,        ,,        ,,
Diethanolamine,111-42-2,3.8E+02,n,4.9E+03,n,1.2E+02,n,
Diethylene Glycol Monobutyl Ether,112-34-5,5.6E+03,n,7.1E+04,n,1.8E+03,n,
Diethylene Glycol Monoethyl Ether,111-90-0,1.1E+04,n,1.4E+05,nm,3.6E+03,n,
Diethylformamide,617-84-5,2.3E+02,n,3.5E+03,n,6.0E+01,n,
Diethylstilbestrol,56-53-1,1.6E-01,c,6.6E-01,c,5.1E-03,c,
Difenzoquat,43222-48-6,1.6E+04,n,2.0E+05,nm,5.0E+03,n,
Diflubenzuron,35367-38-5,3.8E+03,n,4.9E+04,n,8.7E+02,n,
"Difluoroethane, 1,1-",75-37-6,1.4E+05,nms,6.0E+05,nms,2.5E+05,n,
"Difluoropropane, 2,2-",420-45-1,7.1E+04,ns,3.0E+05,nms,1.9E+05,n,
Dihydrosafrole,94-58-6,9.9E+02,c,4.5E+03,c,3.0E+01,c,
Diisopropyl Ether,108-20-3,6.7E+03,ns,2.8E+04,ns,4.4E+03,n,
Diisopropyl Methylphosphonate,1445-75-6,1.9E+04,ns,2.8E+05,nms,4.8E+03,n,
Dimethipin,55290-64-7,4.1E+03,n,5.4E+04,n,1.3E+03,n,
Dimethoate,60-51-5,4.2E+02,n,5.4E+03,n,1.3E+02,n,
"Dimethoxybenzidine, 3,3'-",119-90-4,3.4E+01,c,1.4E+02,c,4.7E+00,c,
Dimethyl methylphosphonate,756-79-6,1.1E+04,n,1.4E+05,c**m,3.6E+03,n,
Dimethylamino azobenzene [p-],60-11-7,1.2E+01,c,5.0E+01,c,5.0E-01,c,
"Dimethylaniline HCl, 2,4-",21436-96-4,9.4E+01,c,4.0E+02,c,1.3E+01,c,
"Dimethylaniline, 2,4-",95-68-1,2.7E+02,c**,1.1E+03,c**,3.7E+01,c**,
"Dimethylaniline, N,N-",121-69-7,4.7E+02,n,7.0E+03,ns,1.1E+02,n,
"Dimethylbenzidine, 3,3'-",119-93-7,4.9E+00,c,2.1E+01,c,6.5E-01,c,
Dimethylformamide,68-12-2,7.9E+03,n,4.4E+04,n,1.8E+02,n,
"Dimethylhydrazine, 1,1-",57-14-7,1.7E-01,n,7.3E-01,n,1.2E-02,n,
"Dimethylhydrazine, 1,2-",540-73-8,8.8E-02,c,4.1E-01,c,2.8E-03,c,
"Dimethylphenol, 2,4-",105-67-9,3.8E+03,n,4.9E+04,n,1.1E+03,n,
"Dimethylphenol, 2,6-",576-26-1,1.1E+02,n,1.5E+03,n,3.2E+01,n,
"Dimethylphenol, 3,4-",95-65-8,1.9E+02,n,2.5E+03,n,5.4E+01,n,
Dimethylvinylchloride,513-37-1,1.1E+02,c,4.8E+02,cs,3.3E+01,c,
"Dinitrobenzene, 1,2-",528-29-0,1.9E+01,n,2.5E+02,n,5.8E+00,n,
"Dinitrobenzene, 1,3-",99-65-0,1.9E+01,n,2.5E+02,n,5.9E+00,n,
"Dinitrobenzene, 1,4-",100-25-4,1.9E+01,n,2.5E+02,n,5.9E+00,n,
"Dinitro-o-cresol, 4,6-",534-52-1,1.5E+01,n,2.0E+02,n,4.5E+00,n,
"Dinitro-o-cyclohexyl Phenol, 4,6-",131-89-5,3.8E+02,n,4.9E+03,n,6.9E+01,n,
"Dinitrophenol, 2,4-",51-28-5,3.8E+02,n,4.9E+03,n,1.2E+02,n,
"Dinitrotoluene Mixture, 2,4/2,6-",E1615210,8.0E+01,c,3.4E+02,c,1.1E+01,c,
"Dinitrotoluene, 2,4-",121-14-2,1.7E+02,c**,7.4E+02,c**,2.4E+01,c**,
"Dinitrotoluene, 2,6-",606-20-2,3.6E+01,c**,1.5E+02,c**,4.9E+00,c**,
"Dinitrotoluene, 2-Amino-4,6-",35572-78-2,4.6E+02,n,6.8E+03,n,1.2E+02,n,
"Dinitrotoluene, 4-Amino-2,6-",19406-51-0,4.6E+02,n,6.8E+03,n,1.2E+02,n,
"Dinitrotoluene, Technical grade",25321-14-6,1.2E+02,c**,5.1E+02,c**,1.0E+01,c**,
Dinoseb,88-85-7,1.9E+02,n,2.5E+03,n,4.4E+01,n,7.0E+00
"Dioxane, 1,4-",123-91-1,5.3E+02,c**,2.4E+03,c**,4.6E+01,c**,
Diphenamid,957-51-7,5.7E+03,n,7.4E+04,n,1.6E+03,n,
Diphenyl Ether,101-84-8,1.0E+02,n,4.2E+02,n,2.5E+00,n,
Diphenyl Sulfone,127-63-9,1.5E+02,n,2.0E+03,n,4.5E+01,n,
Diphenylamine,122-39-4,1.9E+04,n,2.5E+05,nm,3.8E+03,n,
"Diphenylhydrazine, 1,2-",122-66-7,6.8E+01,c,2.9E+02,c,7.8E+00,c,
Diquat,85-00-7,4.2E+02,n,5.4E+03,n,1.3E+02,n,2.0E+01
Direct Black 38,1937-37-7,7.6E+00,c,3.2E+01,c,1.1E+00,c,
Direct Blue 6,2602-46-2,7.3E+00,c,3.1E+01,c,1.1E+00,c,
Direct Brown 95,16071-86-6,8.1E+00,c,3.4E+01,c,1.2E+00,c,
Disulfoton,298-04-4,7.6E+00,n,9.8E+01,n,1.5E+00,n,
"Dithiane, 1,4-",505-29-3,2.3E+03,n,3.5E+04,n,5.9E+02,n,
Diuron,330-54-1,3.8E+02,n,4.9E+03,n,1.1E+02,n,
Dodine,2439-10-3,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Endosulfan,115-29-7,1.4E+03,n,2.1E+04,n,3.0E+02,n,
Endothall,145-73-3,3.8E+03,n,4.9E+04,n,1.1E+03,n,1.0E+02
Endrin,72-20-8,5.7E+01,n,7.4E+02,n,6.9E+00,n,2.0E+00
Epichlorohydrin,106-89-8,5.7E+01,n,2.5E+02,n,6.1E+00,n,
"Epoxybutane, 1,2-",106-88-7,4.8E+02,n,2.0E+03,n,1.3E+02,n,
EPTC,759-94-4,1.2E+04,n,1.8E+05,nm,2.3E+03,n,
"Ethanol, 2-(2-methoxyethoxy)-",111-77-3,7.6E+03,n,9.8E+04,n,2.4E+03,n,
Ethephon,16672-87-0,9.5E+02,n,1.2E+04,n,3.0E+02,n,
Ethion,563-12-2,9.5E+01,n,1.2E+03,n,1.3E+01,n,
"Ethoxyethanol Acetate, 2-",111-15-9,7.7E+03,n,4.3E+04,ns,3.5E+02,n,
"Ethoxyethanol, 2-",110-80-5,1.6E+04,n,1.4E+05,nms,1.0E+03,n,
Ethyl Acetate,141-78-6,1.9E+03,n,7.9E+03,n,4.3E+02,n,
Ethyl Acrylate,140-88-5,1.4E+02,n,6.4E+02,n,4.3E+01,n,
Ethyl Chloride (Chloroethane),75-00-3,4.1E+04,ns,1.7E+05,nms,6.3E+04,n,
Ethyl Ether,60-29-7,4.7E+04,ns,7.0E+05,nms,1.2E+04,n,
Ethyl Methacrylate,97-63-2,5.4E+03,ns,2.3E+04,ns,1.9E+03,n,
Ethylbenzene,100-41-4,5.8E+02,c*s,2.5E+03,c*s,1.5E+02,c*,7.0E+02
Ethylene Cyanohydrin,109-78-4,1.3E+04,n,1.7E+05,nm,4.2E+03,n,
Ethylene Diamine,107-15-3,2.1E+04,n,3.2E+05,nms,5.4E+03,n,
Ethylene Glycol,107-21-1,3.8E+05,nm,4.9E+06,nm,1.2E+05,n,
Ethylene Glycol Monobutyl Ether,111-76-2,1.9E+04,n,2.5E+05,nm,5.9E+03,n,
Ethylene Oxide,75-21-8,2.0E-01,c,2.5E+00,c,6.7E-02,c,
Ethylene Thiourea,96-45-7,1.5E+01,n,2.0E+02,n,4.8E+00,n,
Ethyleneimine,151-56-4,2.7E-01,c,1.2E+00,c,2.4E-02,c,
Ethylphthalyl Ethyl Glycolate,84-72-0,5.7E+05,nm,7.4E+06,nm,1.7E+05,n,
Ethyl-p-nitrophenyl Phosphonate,2104-64-5,1.9E+00,n,2.5E+01,n,2.7E-01,n,
Fenamiphos,22224-92-6,4.7E+01,n,6.2E+02,n,1.3E+01,n,
Fenpropathrin,39515-41-8,4.7E+03,n,6.2E+04,n,1.9E+02,n,
Fenvalerate,51630-58-1,4.7E+03,n,6.2E+04,n,1.5E+03,n,
Fluometuron,2164-17-2,2.5E+03,n,3.2E+04,n,7.3E+02,n,
Fluoride,16984-48-8,9.4E+03,n,1.4E+05,nm,2.4E+03,n,4.0E+03
Fluorine (Soluble Fluoride),7782-41-4,1.4E+04,n,2.1E+05,nm,3.6E+03,n,4.0E+03
Fluridone,59756-60-4,1.5E+04,n,2.0E+05,nm,4.3E+03,n,
Flurprimidol,56425-91-3,7.6E+03,n,9.8E+04,n,2.1E+03,n,
Flusilazole,85509-19-9,3.8E+02,n,4.9E+03,n,9.4E+01,n,
Flutolanil,66332-96-5,9.5E+04,n,1.2E+06,nm,2.4E+04,n,
Fluvalinate,69409-94-5,1.9E+03,n,2.5E+04,n,6.0E+02,n,
Folpet,133-07-3,1.7E+04,n,2.2E+05,nm,4.9E+03,n,
Fomesafen,72178-02-0,4.7E+02,n,6.2E+03,n,1.4E+02,n,
Fonofos,944-22-9,3.8E+02,n,4.9E+03,n,7.3E+01,n,
Formaldehyde,50-00-0,1.7E+03,c**,7.3E+03,c**,4.3E+01,c**,
Formic Acid,64-18-6,8.7E+01,n,3.7E+02,n,1.9E+00,n,
Fosetyl-AL,39148-24-8,4.7E+05,nm,6.2E+06,nm,1.5E+05,n,
Furazolidone,67-45-8,1.4E+01,c,6.0E+01,c,2.0E+00,c,
Furfural,98-01-1,6.4E+02,n,7.9E+03,n,1.1E+02,n,
Furium,531-82-8,3.6E+01,c,1.5E+02,c,5.1E+00,c,
Furmecyclox,60568-05-0,1.8E+03,c,7.7E+03,c,1.1E+02,c,
"Glufosinate, Ammonium",77182-82-2,1.1E+03,n,1.5E+04,n,3.6E+02,n,
Glutaraldehyde,111-30-8,1.8E+04,n,2.1E+05,nm,6.0E+03,n,
Glycidyl,765-34-4,6.9E+01,n,6.2E+02,n,5.0E+00,n,
Glyphosate,1071-83-6,1.9E+04,n,2.5E+05,nm,6.0E+03,n,7.0E+02
Guanidine,113-00-8,2.3E+03,n,3.5E+04,n,6.0E+02,n,
Guanidine Chloride,50-01-1,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Guanidine Nitrate,506-93-4,5.7E+03,n,7.4E+04,n,1.8E+03,n,
"Haloxyfop, Methyl",69806-40-2,9.5E+00,n,1.2E+02,n,2.3E+00,n,
Heptachlor,76-44-8,1.3E+01,c**,6.3E+01,c*,1.4E-01,c*,4.0E-01
Heptachlor Epoxide,1024-57-3,3.1E+00,n,3.3E+01,c**,1.4E-01,c**,2.0E-01
"Heptanal, n-",111-71-7,7.3E+01,n,3.1E+02,ns,1.9E+01,n,
"Heptane, N-",142-82-5,6.6E+01,ns,8.6E+02,ns,1.8E+01,n,
Hexabromobenzene,87-82-1,4.7E+02,n,7.0E+03,n,1.2E+02,n,
"Hexabromodiphenyl ether, 2,2',4,4',5,5'- (BDE-153)",68631-49-2,3.8E+01,n,4.9E+02,n,1.2E+01,n,
Hexachlorobenzene,118-74-1,2.1E+01,c**,9.6E+01,c*,9.8E-01,c*,1.0E+00
Hexachlorobutadiene,87-68-3,1.2E+02,c**s,5.3E+02,c**s,1.4E+01,c**,
"Hexachlorocyclohexane, Alpha-",319-84-6,8.6E+00,c,3.6E+01,c,7.2E-01,c,
"Hexachlorocyclohexane, Beta-",319-85-7,3.0E+01,c,1.3E+02,c,2.5E+00,c,
"Hexachlorocyclohexane, Gamma- (Lindane)",58-89-9,5.7E+01,c**,2.5E+02,c**,4.2E+00,c**,2.0E-01
"Hexachlorocyclohexane, Technical",608-73-1,3.0E+01,c,1.3E+02,c,2.5E+00,c,
Hexachlorocyclopentadiene,77-47-4,5.3E+00,n,2.2E+01,ns,1.2E+00,n,5.0E+01
Hexachloroethane,67-72-1,1.3E+02,n,8.0E+02,c**,1.9E+01,n,
Hexachlorophene,70-30-4,5.7E+01,n,7.4E+02,n,1.8E+01,n,
"Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)",121-82-4,6.1E+02,c**,2.8E+03,c**,7.0E+01,c**,
"Hexamethylene Diisocyanate, 1,6-",822-06-0,9.4E+00,n,3.9E+01,n,6.3E-02,n,
Hexamethylphosphoramide,680-31-9,7.6E+01,n,9.8E+02,n,2.4E+01,n,
"Hexane, N-",110-54-3,1.8E+03,ns,7.6E+03,ns,4.4E+03,n,
Hexanedioic Acid,124-04-9,3.8E+05,nm,4.9E+06,nm,1.2E+05,n,
"Hexanone, 2-",591-78-6,6.0E+02,n,4.0E+03,ns,1.1E+02,n,
Hexazinone,51235-04-2,6.3E+03,n,8.1E+04,n,1.9E+03,n,
Hexythiazox,78587-05-0,4.7E+03,n,6.2E+04,n,3.4E+02,n,
Hydramethylnon,67485-29-4,3.2E+03,n,4.2E+04,n,1.0E+03,n,
Hydrazine,302-01-2,3.2E+00,c**,1.4E+01,c**,1.1E-01,c**,
Hydrazine Sulfate,10034-93-2,2.3E+01,c,1.1E+02,c,2.6E+00,c,
Hydrogen Chloride,7647-01-0,8.5E+07,nm,3.6E+08,nm,1.3E+02,n,
Hydrogen Fluoride,7664-39-3,9.4E+03,n,1.4E+05,nm,8.5E+01,n,
Hydrogen Sulfide,7783-06-4,8.5E+06,nm,3.6E+07,nm,1.3E+01,n,
Hydroquinone,123-31-9,9.0E+02,c**,3.8E+03,c*,1.3E+02,c*,
Imazalil,35554-44-0,4.7E+02,n,3.8E+03,c**,9.0E+01,c**,
Imazaquin,81335-37-7,4.7E+04,n,6.2E+05,nm,1.5E+04,n,
Imazethapyr,81335-77-5,4.7E+05,nm,6.2E+06,nm,1.4E+05,n,
Iodine,7553-56-2,2.3E+03,n,3.5E+04,n,6.0E+02,n,
Iprodione,36734-19-7,7.6E+03,n,9.8E+04,n,2.2E+03,n,
Iron,7439-89-6,1.6E+05,nm,2.5E+06,nm,4.2E+04,n,
Isobutyl Alcohol,78-83-1,7.0E+04,ns,1.1E+06,nms,1.8E+04,n,
Isophorone,78-59-1,3.8E+04,n,2.4E+05,c**m,7.8E+03,c**,
Isopropalin,33820-53-0,3.5E+03,n,5.3E+04,n,1.2E+02,n,
Isopropanol,67-63-0,1.7E+04,n,7.2E+04,n,1.2E+03,n,
Isopropyl Methyl Phosphonic Acid,1832-54-8,1.9E+04,n,2.5E+05,nm,6.0E+03,n,
Isoxaben,82558-50-7,9.5E+03,n,1.2E+05,nm,2.2E+03,n,
JP-7,E1737665,1.3E+09,nm,5.4E+09,nm,1.9E+03,n,
Lactofen,77501-63-4,1.5E+03,n,2.0E+04,n,3.0E+02,n,
Lactonitrile,78-97-7,3.8E+01,n,4.9E+02,n,1.2E+01,n,
Lewisite,541-25-3,1.2E+00,n,1.8E+01,n,2.7E-01,n,
Linuron,330-55-2,1.5E+03,n,1.9E+04,n,3.9E+02,n,
Lithium,7439-93-2,4.7E+02,n,7.0E+03,n,1.2E+02,n,
Malathion,121-75-5,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Maleic Anhydride,108-31-6,1.9E+04,n,2.4E+05,nm,5.7E+03,n,
Maleic Hydrazide,123-33-1,9.5E+04,n,1.2E+06,nm,3.0E+04,n,
Malononitrile,109-77-3,1.9E+01,n,2.5E+02,n,6.0E+00,n,
Mancozeb,8018-01-7,5.7E+03,n,7.4E+04,n,1.6E+03,n,
Maneb,12427-38-2,9.5E+02,n,1.2E+04,n,2.9E+02,n,
Manganese (Diet),7439-96-5,        ,,        ,,        ,,
Manganese (Non-diet),7439-96-5,5.5E+03,n,7.7E+04,n,1.3E+03,n,
MCPA,94-74-6,9.5E+01,n,1.2E+03,n,2.3E+01,n,
MCPB,94-81-5,8.3E+02,n,1.1E+04,n,1.9E+02,n,
MCPP,93-65-2,1.9E+02,n,2.5E+03,n,4.7E+01,n,
Mephosfolan,950-10-7,1.7E+01,n,2.2E+02,n,5.4E+00,n,
Mepiquat Chloride,24307-26-4,5.7E+03,n,7.4E+04,n,1.8E+03,n,
"Mercaptobenzothiazole, 2-",149-30-4,7.6E+02,n,9.8E+03,n,2.2E+02,n,
Merphos,150-50-5,7.0E+00,n,1.1E+02,n,1.8E+00,n,
Merphos Oxide,78-48-8,1.9E+01,n,2.5E+02,n,8.5E-01,n,
Metalaxyl,57837-19-1,1.1E+04,n,1.5E+05,nm,3.5E+03,n,
Methacrylonitrile,126-98-7,2.3E+01,n,3.1E+02,n,5.7E+00,n,
Methamidophos,10265-92-6,9.5E+00,n,1.2E+02,n,3.0E+00,n,
Methanol,67-56-1,3.7E+05,nms,3.7E+06,nms,6.1E+04,n,
Methidathion,950-37-8,2.8E+02,n,3.7E+03,n,8.7E+01,n,
Methomyl,16752-77-5,4.7E+03,n,6.2E+04,n,1.5E+03,n,
"Methoxy-5-nitroaniline, 2-",99-59-2,1.1E+03,c,4.7E+03,c,1.5E+02,c,
Methoxychlor,72-43-5,9.5E+02,n,1.2E+04,n,1.1E+02,n,4.0E+01
"Methoxyethanol Acetate, 2-",110-49-6,3.2E+02,n,1.5E+03,n,6.2E+00,n,
"Methoxyethanol, 2-",109-86-4,9.9E+02,n,1.1E+04,n,8.8E+01,n,
Methyl Acetate,79-20-9,2.3E+05,nms,3.5E+06,nms,6.0E+04,n,
Methyl Acrylate,96-33-3,4.4E+02,n,1.8E+03,n,1.3E+02,n,
Methyl Ethyl Ketone (2-Butanone),78-93-3,8.1E+04,ns,5.8E+05,nms,1.7E+04,n,
Methyl Hydrazine,60-34-4,3.1E+00,n,1.3E+01,n,1.2E-01,n,
Methyl Isobutyl Ketone (4-methyl-2-pentanone),108-10-1,9.9E+04,ns,4.2E+05,nms,1.9E+04,n,
Methyl Isocyanate,624-83-9,1.4E+01,n,5.8E+01,n,6.3E+00,n,
Methyl Methacrylate,80-62-6,1.3E+04,ns,5.8E+04,ns,4.2E+03,n,
Methyl methanesulfonate,66-27-3,5.5E+02,c,2.3E+03,c,7.9E+01,c,
Methyl Parathion,298-00-0,4.7E+01,n,6.2E+02,n,1.3E+01,n,
Methyl Phosphonic Acid,993-13-5,1.1E+04,n,1.5E+05,nm,3.6E+03,n,
Methyl Styrene (Mixed Isomers),25013-15-4,9.6E+02,ns,7.9E+03,ns,6.9E+01,n,
Methyl tert-Butyl Ether (MTBE),1634-04-4,4.7E+03,c**,2.1E+04,c**s,1.4E+03,c*,
"Methyl-1,4-benzenediamine dihydrochloride, 2-",615-45-2,5.7E+01,n,7.4E+02,n,1.8E+01,n,
"Methyl-2-Pentanol, 4-",108-11-2,1.6E+05,nms,6.8E+05,nms,1.9E+04,n,
"Methyl-5-Nitroaniline, 2-",99-55-8,3.8E+03,n,2.6E+04,c**,8.2E+02,c**,
"Methylaniline Hydrochloride, 2-",636-21-5,4.2E+02,c,1.8E+03,c,6.0E+01,c,
Methylarsonic acid,124-58-3,1.9E+03,n,2.5E+04,n,6.0E+02,n,
"Methylbenzene,1-4-diamine monohydrochloride, 2-",74612-12-7,3.8E+01,n,4.9E+02,n,1.2E+01,n,
"Methylbenzene-1,4-diamine sulfate, 2-",615-50-9,5.7E+01,n,7.4E+02,n,1.8E+01,n,
"Methylcholanthrene, 3-",56-49-5,5.5E-01,c,1.0E+01,c,1.1E-01,c,
Methylene Chloride,75-09-2,1.0E+03,n,9.5E+03,ns,3.2E+02,n,5.0E+00
"Methylene-bis(2-chloroaniline), 4,4'-",101-14-4,1.2E+02,c**,2.3E+03,c**,1.6E+01,c**,
"Methylene-bis(N,N-dimethyl) Aniline, 4,4'-",101-61-1,1.2E+03,c,5.0E+03,c,4.8E+01,c,
"Methylenebisbenzenamine, 4,4'-",101-77-9,3.4E+01,c,1.4E+02,c,4.7E+00,c,
Methylenediphenyl Diisocyanate,101-68-8,2.6E+06,nm,1.1E+07,nm,        ,,
"Methyl-N-nitro-N-nitrosoguanidine, N-",70-25-7,6.5E+00,c,2.8E+01,c,9.4E-01,c,
"Methylstyrene, Alpha-",98-83-9,1.6E+04,ns,2.5E+05,nms,2.3E+03,n,
Metolachlor,51218-45-2,2.8E+04,n,3.7E+05,nm,8.1E+03,n,
Metribuzin,21087-64-9,4.7E+03,n,6.2E+04,n,1.5E+03,n,
Metsulfuron-methyl,74223-64-6,4.7E+04,n,6.2E+05,nm,1.5E+04,n,
Mineral oils,8012-95-1,7.0E+05,nms,1.1E+07,nms,1.8E+05,n,
Mirex,2385-85-5,3.6E+00,c*,1.7E+01,c*,8.8E-02,c,
Molinate,2212-67-1,3.8E+02,n,4.9E+03,n,9.0E+01,n,
Molybdenum,7439-98-7,1.2E+03,n,1.8E+04,n,3.0E+02,n,
Monochloramine,10599-90-3,2.3E+04,n,3.5E+05,nm,6.0E+03,n,4.0E+03
Monomethylaniline,100-61-8,3.8E+02,n,4.9E+03,n,1.1E+02,n,
Myclobutanil,88671-89-0,4.7E+03,n,6.2E+04,n,1.4E+03,n,
"N,N'-Diphenyl-1,4-benzenediamine",74-31-7,5.7E+01,n,7.4E+02,n,1.1E+01,n,
Naled,300-76-5,4.7E+02,n,7.0E+03,n,1.2E+02,n,
"Naphtha, High Flash Aromatic (HFAN)",64742-95-6,7.0E+03,n,1.1E+05,nm,4.6E+02,n,
"Naphthylamine, 2-",91-59-8,3.0E+01,c,1.3E+02,c,3.9E+00,c,
Napropamide,15299-99-7,2.3E+04,n,3.0E+05,nm,5.9E+03,n,
Nickel Acetate,373-02-4,2.0E+03,n,2.4E+04,n,6.6E+02,n,
Nickel Carbonate,3333-67-3,2.0E+03,n,2.4E+04,n,6.6E+02,n,
Nickel Carbonyl,13463-39-3,2.5E+03,n,3.3E+04,n,8.8E-02,n,
Nickel Hydroxide,12054-48-7,2.5E+03,n,3.3E+04,n,6.0E+02,n,
Nickel Oxide,1313-99-1,2.5E+03,n,3.5E+04,n,6.0E+02,n,
Nickel Refinery Dust,E715532,2.5E+03,n,3.3E+04,n,6.5E+02,n,
Nickel Soluble Salts,7440-02-0,4.6E+03,n,6.7E+04,n,1.2E+03,n,
Nickel Subsulfide,12035-72-2,4.1E+01,c*,1.9E+02,c,4.5E+00,c,
Nickelocene,1271-28-9,2.0E+03,n,2.4E+04,n,6.6E+02,n,
Nitrate,14797-55-8,3.8E+05,nm,5.6E+06,nm,9.6E+04,n,1.0E+04
Nitrate + Nitrite (as N),E701177,        ,,        ,,        ,,1.0E+04
Nitrite,14797-65-0,2.3E+04,n,3.5E+05,nm,6.0E+03,n,1.0E+03
"Nitroaniline, 2-",88-74-4,1.9E+03,n,2.4E+04,n,5.7E+02,n,
"Nitroaniline, 4-",100-01-6,7.6E+02,n,9.8E+03,n,2.3E+02,n,
Nitrobenzene,98-95-3,3.8E+02,n,2.2E+03,c**,1.4E+01,c**,
Nitrocellulose,9004-70-0,5.7E+08,nm,7.4E+09,nm,1.8E+08,n,
Nitrofurantoin,67-20-9,1.3E+04,n,1.7E+05,nm,4.2E+03,n,
Nitrofurazone,59-87-0,4.2E+01,c,1.8E+02,c,6.0E+00,c,
